;STATUS;NOME PRODUTO;TIPO DE PETIÇÃO;ASSUNTO PETIÇÃO;Nº PROCESSO;PROTOCOLO;EXPEDIENTE;"SITUAÇÃO ANVISA
Encontra-se: ";FILA DE ANÁLISE / LISTA DE ANÁLISE;CATEGORIA MEDICAMENTO;ÁREA DE INTERESSE;FILA;SUBFILA;DATA DE PROTOCOLO;DATA DE DEFERIMENTO;PRAZO MAXIMO DECISAO FINAL ANVISA (PRAZO INICIAL);PRAZO MAXIMO DECISAO FINAL ANVISA (PRORROGAÇÃO);Últ Atualização;Últ. Posição;Data;Posição
0;Publicado deferimento;Aripripazol;Registro de Medicamento;10488 - GENÉRICO - Registro de Medicamento - CLONE;25351.512718/2023-90;2023.0000000/7473-80;0828126/23-2;"Situação atual: Publicado deferimento
Início: 18/09/2023

Status: Em análise 
Início: 21/08/2023
Encontra-se na: GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS";FILA DE ANÁLISE;GENÉRICO;MEDICAMENTO;REGISTRO;CLONES;2023-08-08;45187.0;2024-08-07;2024-12-07;;;2023-08-15;3
1;Publicado deferimento;Athena Drug Delivery Solutions Private Limited;Administrativo;769 - MEDICAMENTOS - (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.572272/2023-52;202300000008371-75;0927032/23-6;"Situação atual: Publicado deferimento
Início: 09/10/2023

Status: Concluída análise
Início: 15/09/2023
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;CBPF INTERNACIONAL;CBPF INTERNACIONAL DE MEDICAMENTOS;2023-08-31;45208.0;2024-08-30;2024-12-30;;;2023-08-29;13
2;Publicado deferimento;Athena Drug Delivery Solutions Private Limited;Administrativo;769 - MEDICAMENTOS - (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.572272/2023-52;202300000008371-75;0927032/23-6;"Situação atual: Publicado deferimento
Início: 09/10/2023

Status: Concluída análise
Início: 15/09/2023
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;CBPF INTERNACIONAL;CBPF INTERNACIONAL DE MEDICAMENTOS;2023-08-31;45208.0;2024-08-30;2024-12-30;;;2023-09-05;12
3;Publicado deferimento;Athena Drug Delivery Solutions Private Limited;Administrativo;769 - MEDICAMENTOS - (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.572272/2023-52;202300000008371-75;0927032/23-6;"Situação atual: Publicado deferimento
Início: 09/10/2023

Status: Concluída análise
Início: 15/09/2023
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;CBPF INTERNACIONAL;CBPF INTERNACIONAL DE MEDICAMENTOS;2023-08-31;45208.0;2024-08-30;2024-12-30;;;2023-09-12;6
4;Revalidação Automática;ATLANTIC PHARMA - CBPF;Renovação de Registro;70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.143271/2016-12;20220.000004/0878-28;4226319/22-2;"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;RENOVAÇÃO CBPF INTERNACIONAL;RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS;2022-05-30;;2023-05-30;2023-09-29;;;2022-05-24;341
5;Revalidação Automática;ATLANTIC PHARMA - CBPF;Renovação de Registro;70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.143271/2016-12;20220.000004/0878-28;4226319/22-2;"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;RENOVAÇÃO CBPF INTERNACIONAL;RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS;2022-05-30;;2023-05-30;2023-09-29;;;2022-05-31;329
6;Revalidação Automática;ATLANTIC PHARMA - CBPF;Renovação de Registro;70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.143271/2016-12;20220.000004/0878-28;4226319/22-2;"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;RENOVAÇÃO CBPF INTERNACIONAL;RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS;2022-05-30;;2023-05-30;2023-09-29;;;2022-06-07;315
7;Revalidação Automática;ATLANTIC PHARMA - CBPF;Renovação de Registro;70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.143271/2016-12;20220.000004/0878-28;4226319/22-2;"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;RENOVAÇÃO CBPF INTERNACIONAL;RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS;2022-05-30;;2023-05-30;2023-09-29;;;2022-06-14;305
8;Revalidação Automática;ATLANTIC PHARMA - CBPF;Renovação de Registro;70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.143271/2016-12;20220.000004/0878-28;4226319/22-2;"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;RENOVAÇÃO CBPF INTERNACIONAL;RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS;2022-05-30;;2023-05-30;2023-09-29;;;2022-06-21;296
9;Revalidação Automática;ATLANTIC PHARMA - CBPF;Renovação de Registro;70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL;25351.143271/2016-12;20220.000004/0878-28;4226319/22-2;"Situação atual: Revalidação Automática
Início: 05/12/2022

Status: Concluída análise
Início: 18/11/2022
Encontra-se na: COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS";FILA DE ANÁLISE;CBPF;EMPRESAS;RENOVAÇÃO CBPF INTERNACIONAL;RENOVAÇÃO CBPF INTERNACIONAL DE MEDICAMENTOS;2022-05-30;;2023-05-30;2023-09-29;;;2022-06-28;271
